,isConversationControlled,isPinned,isQuote,isReply,isRetweet,lang,likeCount,media/0,media/1,possiblySensitive,replyCount,quoteCount,retweetCount,source,type,viewCount,target
148,0,0,0,0,1,8,29.0,0,0,0,0.0,0.0,7.0,13,1,3210.0,0
149,0,0,0,0,1,8,608.0,0,0,0,24.0,25.0,421.0,13,1,26707.0,0
150,0,0,1,0,0,8,345.0,1,0,0,1.0,1.0,145.0,13,1,23138.0,0
151,0,0,0,0,1,8,316.0,0,0,0,12.0,8.0,68.0,13,1,114585.0,0
152,0,0,0,0,1,8,20141.0,0,0,0,195.0,446.0,1429.0,13,1,1645065.0,0
153,0,0,0,0,0,8,5.0,0,0,0,2.0,0.0,0.0,13,1,217.0,0
154,0,0,0,0,0,45,21.0,1,0,0,1.0,0.0,4.0,13,1,606.0,0
155,0,0,0,0,0,8,150.0,1,1,0,1.0,2.0,35.0,13,1,5426.0,0
156,0,0,0,0,0,8,8.0,0,0,0,0.0,0.0,0.0,13,1,691.0,0
157,0,0,0,0,0,16,37.0,0,0,0,3.0,0.0,2.0,13,1,1313.0,0
158,0,0,0,0,0,16,6.0,0,0,0,0.0,0.0,0.0,13,1,886.0,0
159,0,0,0,0,0,8,49.0,0,0,0,3.0,1.0,9.0,13,1,2086.0,0
160,0,0,0,0,0,19,19.0,0,0,0,0.0,0.0,4.0,13,1,891.0,0
161,0,0,0,0,0,3,2.0,0,0,0,1.0,0.0,0.0,13,1,408.0,0
162,0,0,0,0,0,16,28.0,0,0,0,0.0,0.0,2.0,13,1,934.0,0
163,0,0,0,0,0,8,79.0,1,0,0,8.0,3.0,18.0,13,1,1815.0,0
164,0,0,0,0,0,8,68.0,1,1,0,4.0,0.0,16.0,13,1,1041.0,0
165,0,0,0,1,0,8,5.0,0,0,0,1.0,0.0,0.0,13,1,193.0,0
166,0,0,0,1,0,8,5.0,0,0,0,1.0,0.0,0.0,13,1,170.0,0
167,0,0,0,0,0,8,20.0,1,0,0,6.0,2.0,9.0,13,1,1660.0,0
168,0,0,0,1,0,8,1.0,0,0,0,0.0,0.0,0.0,13,1,273.0,0
169,0,0,0,0,0,8,18.0,1,1,0,1.0,0.0,5.0,13,1,1231.0,0
170,0,0,0,1,0,8,4.0,0,0,0,0.0,0.0,1.0,13,1,351.0,0
171,0,0,1,0,0,8,1154.0,0,0,0,171.0,11.0,524.0,16,1,28277.0,0
172,0,0,0,0,1,8,822.0,0,0,0,30.0,12.0,398.0,16,1,23873.0,0
173,0,0,0,0,1,8,51.0,0,0,0,3.0,2.0,8.0,16,1,3139.0,0
174,0,0,0,0,1,8,2516.0,0,0,0,87.0,13.0,729.0,16,1,56347.0,0
175,0,0,0,0,1,8,3447.0,0,0,0,297.0,48.0,954.0,16,1,129897.0,0
176,0,0,1,0,0,8,92.0,0,0,0,2.0,0.0,33.0,16,1,2234.0,0
